id,nivel,nombre,turno,domicilio,colonia,alcaldia,sostenimiento,ubicacion,lat,lon,coordenadas
2797,Preescolar,COLEGIO WATSON Y CRICK,MATUTINO,SUR 25 NO. 551,LEYES DE REFORMA,IZTAPALAPA,Particular,"SUR 25 NO. 551, LEYES DE REFORMA, IZTAPALAPA",19.3707551,-99.0674471,"19.3707551,-99.0674471"
2798,Preescolar,MONARCA,MATUTINO,EUGENIO GIRON MZ. 34 LT. 4,PARAJE SAN JUAN,IZTAPALAPA,Particular,"EUGENIO GIRON MZ. 34 LT. 4, PARAJE SAN JUAN, IZTAPALAPA",19.3391863,-99.064503,"19.3391863,-99.064503"
2799,Preescolar,UN NUEVO AMANECER,MATUTINO,MIGUEL HIDALGO NO. 132,SANTA CRUZ MEYEHUALCO,IZTAPALAPA,Particular,"MIGUEL HIDALGO NO. 132, SANTA CRUZ MEYEHUALCO, IZTAPALAPA",19.3387286,-99.0416932,"19.3387286,-99.0416932"
2800,Preescolar,CENTRO DE DESARROLLO DE LA TEMPRANA ENSEÑANZA,MATUTINO,5 DE MAYO MZ. 13 LT. 8-D,LOS ANGELES APANOAYA,IZTAPALAPA,Particular,"5 DE MAYO MZ. 13 LT. 8-D, LOS ANGELES APANOAYA, IZTAPALAPA",19.3398626,-99.0610865,"19.3398626,-99.0610865"
2801,Preescolar,MADHUVANI,MATUTINO,AQUITANIA NO. 29,LOMAS ESTRELLA 2A SECCION,IZTAPALAPA,Particular,"AQUITANIA NO. 29, LOMAS ESTRELLA 2A SECCION, IZTAPALAPA",19.3140591,-99.0897099,"19.3140591,-99.0897099"
2802,Preescolar,BIK'IT,MATUTINO,AV. RIO SOTO LA MARINA NO. 60,PASEOS DE CHURUBUSCO,IZTAPALAPA,Particular,"AV. RIO SOTO LA MARINA NO. 60, PASEOS DE CHURUBUSCO, IZTAPALAPA",19.3862053,-99.0868028,"19.3862053,-99.0868028"
2803,Preescolar,VALLARTA,MATUTINO,CDA. ENCINO NO. 15,SAN JUAN XALPA,IZTAPALAPA,Particular,"CDA. ENCINO NO. 15, SAN JUAN XALPA, IZTAPALAPA",19.3342713,-99.083374,"19.3342713,-99.083374"
2804,Preescolar,NEW CENTURY SCHOOL,MATUTINO,16 DE SEPTIEMBRE NO. 13,CULHUACAN,IZTAPALAPA,Particular,"16 DE SEPTIEMBRE NO. 13, CULHUACAN, IZTAPALAPA",19.3378171,-99.1076052,"19.3378171,-99.1076052"
2805,Preescolar,CHARLES DICKENS,MATUTINO,TRINIDAD GUERRERO MZ. 32 LT. 19,PARAJE SAN JUAN,IZTAPALAPA,Particular,"TRINIDAD GUERRERO MZ. 32 LT. 19, PARAJE SAN JUAN, IZTAPALAPA",19.3428743,-99.0717174,"19.3428743,-99.0717174"
2806,Preescolar,MUNDO DEL PEQUE,MATUTINO,VILLA ELOISA MZ. 1 LT. 16,DESARROLLO URBANO QUETZALCOATL,IZTAPALAPA,Particular,"VILLA ELOISA MZ. 1 LT. 16, DESARROLLO URBANO QUETZALCOATL, IZTAPALAPA",19.3288109,-99.0460533,"19.3288109,-99.0460533"
