Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-20;Mujer;Puente De Vallecas;Entre 36 y 45 años;Española;2652;Profesionales de relaciones públicas;2624;Especialistas en políticas y servicios de personal y afines;2311;Profesores de educación especial
ene-20;Hombre;Otro Municipio;Menor de 25 años;Extracomunitaria;5220;Vendedores en tiendas y almacenes;5120;Camareros asalariados;7703;Panaderos, pasteleros y confiteros
ene-20;Mujer;Puente De Vallecas;Entre 46 y 55 años;Española;5710;Trabajadores de los cuidados personales a domicilio;5710;Trabajadores de los cuidados personales a domicilio;5611;Auxiliares de enfermería hospitalaria
ene-20;Hombre;San Blas;Menor de 25 años;Comunitaria;9811;Peones del transporte de mercancías y descargadores;9811;Peones del transporte de mercancías y descargadores;9820;Reponedores
ene-20;Hombre;San Blas;Entre 46 y 55 años;Española;5220;Vendedores en tiendas y almacenes;1221;Directores comerciales y de ventas;3510;Agentes y representantes comerciales
ene-20;Hombre;Villa De Vallecas;Entre 36 y 45 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;8333;Operadores de carretillas elevadoras;8432;Conductores asalariados de camiones
ene-20;Mujer;San Blas;Entre 36 y 45 años;Extracomunitaria;5710;Trabajadores de los cuidados personales a domicilio;8193;Operadores de máquinas de embalaje, embotellamiento y etiquetado;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares
ene-20;Mujer;Salamanca;Entre 56 y 65 años;Española;4412;Recepcionistas (excepto de hoteles);3724;Monitores de actividades recreativas y de entretenimiento;;
ene-20;Mujer;Ciudad Lineal;Menor de 25 años;Española;5120;Camareros asalariados;9310;Ayudantes de cocina;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Carabanchel;Entre 56 y 65 años;Española;8412;Conductores asalariados de automóviles, taxis y furgonetas;5220;Vendedores en tiendas y almacenes;;
ene-20;Mujer;Usera;Menor de 25 años;Española;9820;Reponedores;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;5220;Vendedores en tiendas y almacenes
ene-20;Hombre;Otro Municipio;Entre 36 y 45 años;Extracomunitaria;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores;8412;Conductores asalariados de automóviles, taxis y furgonetas
ene-20;Hombre;Moncloa-aravaca;Entre 26 y 35 años;Extracomunitaria;5629;Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes;4412;Recepcionistas (excepto de hoteles);9320;Preparadores de comidas rápidas
