id,nombre_del_pilar,alcaldia,nombre_y_o_ubicacion_del_inmueble,estatus_de_conectividad,fecha_de_inauguracion,numero_de_ap_internas,numero_de_ap_externas,latitud,longitud,geopoint
149,ECOGUARDAS,Tlalpan,"Ecoguardas, Carretera Picacho Ajusco km 5.5",CONECTADO,31/7/2019,1,0,19.2710778,-99.2046278,"19.2710778,-99.2046278"
150,TIZIMÍN,Tlalpan,Estación de policía Tizimin,CONECTADO,31/7/2019,2,0,19.2895444,-99.2163361,"19.2895444,-99.2163361"
151,BELVEDERE,Tlalpan,"Bochil & Peloponeso, Belvedere, Tlalpan, 14720 Ciudad de México, CDMX",CONECTADO,PRÓXIMA,2,2,19.2673742,-99.2291582,"19.2673742,-99.2291582"
152,AV DEL TALLER,Venustiano Carranza,"Estación De Policía Cdmx ""Av. Del Taller"", Eje 3 OTE Av. Del paso y Troncoso y Avenida del Taller, Col. Jardín Balbuena",CONECTADO,PRÓXIMA,2,0,19.413715,-99.113186,"19.413715,-99.113186"
153,CANDELARIA DE LOS PATOS,Venustiano Carranza,Guarderia de los trabajadores de la Camara de Diputados,CONECTADO,PRÓXIMA,2,1,19.4317868,-99.1199081,"19.4317868,-99.1199081"
154,SAN GREGORIO ATLAPULCO,Xochimilco,"Casa de la Tercera Edad San Gregorio Atlapulco, (READECUACIÓN DE 368 M2), entre calles Agustín Melgar y Prolongación Agustín Melgar",CONECTADO,26/4/2019,2,1,19.256244,-99.060777,"19.256244,-99.060777"
155,BUENAVISTA,Cuauhtémoc,"Parque Abasolo, Eje 1 Poniente Guerrero sin número, entre Estrella y Luna, Colonia Buenavista, Alcaldía Cuauhtémoc",CONECTADO,PRÓXIMA,2,1,19.449585,-99.147484,"19.449585,-99.147484"
156,CIGAMEC,Gustavo A. Madero,"CIGAMEC, Av Leon de los Aldama & Otumba, San Felipe de Jesús, Ciudad de México, CDMX, México, (1034 M2 DE READECUACIÓN)",CONECTADO,PRÓXIMA,5,1,19.500566,-99.074405,"19.500566,-99.074405"
157,COLOSIO,Iztapalapa,"Centro Comunitario Colosio, Lázaro Cárdenas, Ixtlahuacán (819 M2)",CONECTADO,PRÓXIMA,5,0,19.342305,-98.996397,"19.342305,-98.996397"
158,8 DE AGOSTO,Benito Juárez,"Estacionamiento del Centro Social 8 de Agosto, Calle Becerra sin número, Colonia 8 de agosto, Alcaldía Benito Juárez. (300 M2 DE TERRENO)",CONECTADO,PRÓXIMA,4,0,19.39549,-99.187888,"19.39549,-99.187888"
159,MOCTEZUMA,Venustiano Carranza,"Deportivo Pelón Osuna, Norte 21 s/n, Col. Moctezuma (1400 M2)",CONECTADO,PRÓXIMA,4,2,19.428014,-99.1011053,"19.428014,-99.1011053"
160,TOKYO,Gustavo A. Madero,"Parque Tokio S/N Esq. Cerrada de San Ángel, Col.Malacates",CONECTADO,PRÓXIMA,2,1,19.576577,-99.1370987,"19.576577,-99.1370987"
161,SAN JUAN DE ARAGÓN,Gustavo A. Madero,"Eje 3 NTE, Av.608 S/N, esq. 2 av. 565, Col. San Juan de Aragón",CONECTADO,PRÓXIMA,2,2,19.4572704,-99.0830396,"19.4572704,-99.0830396"
162,GERTRUDIS SANCHEZ,Gustavo A. Madero,"Av. Henry Ford 82-B, Gertrudis Sánchez II Secc, Gustavo A. Madero, 07839 Ciudad de México, CDMX",CONECTADO,PRÓXIMA,2,0,19.464174,-99.1013549,"19.464174,-99.1013549"
163,CALHUACATZINGO (SALINAS),Azcapotzalco,"Predio de las Salinas, Calle Calhuacatzingo S/N, Col. Salinas  (166.76m2) DEMOLICIÓN Y CONSTRUCCIÓN",CONECTADO,PRÓXIMA,4,0,19.489081,-99.166313,"19.489081,-99.166313"
