Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S003258;11/02/2020;18:40;ANILLO VERDE CICLISTA P.K. 24;-;PUENTE DE VALLECAS;Caída;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;02
2020S003428;13/02/2020;13:00;PASEO. PRADO;44;CENTRO;Alcance;Despejado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Mujer;07
2020S003545;14/02/2020;20:58;PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. MARTIN DE VARGAS;-;ARGANZUELA;Colisión fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;
2020S003543;14/02/2020;19:40;CALL. DIEGO DE LEON;36;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Mujer;06
2020S003480;14/02/2020;16:40;CALL. ANDRES TORREJON;2;RETIRO;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 50 A 54 AÑOS;Hombre;07
2020S003512;14/02/2020;7:50;CALL. LA BAÑEZA / CALL. CANDIDO MATEOS;-;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;07
2020S003505;15/02/2020;3:20;CALL. PRINCIPE DE VERGARA / CALL. MALDONADO;-;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 15 A 17 AÑOS;Hombre;01
2020S003706;16/02/2020;18:50;CALL. VIA LUSITANA;19;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Hombre;14
2020S003732;16/02/2020;16:00;GTA. PIRAMIDES;7;ARGANZUELA;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 21 A 24 AÑOS;Mujer;06
2020S003843;18/02/2020;17:15;PASEO. DELICIAS / CALL. PALOS DE LA FRONTERA;-;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;14
2020S003843;18/02/2020;17:15;PASEO. DELICIAS / CALL. PALOS DE LA FRONTERA;-;ARGANZUELA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 60 A 64 AÑOS;Mujer;01
2020S003841;18/02/2020;16:55;CALL. TOLEDO;166;ARGANZUELA;Otro;Despejado;Bicicleta;Conductor;DE 18 A 20 AÑOS;Mujer;07
2020S003788;18/02/2020;14:33;PASEO. MARQUES DE ZAFRA / CALL. MARQUES DE ZAFRA;-;SALAMANCA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S004022;20/02/2020;19:40;CALL. CARTAGENA;166;CHAMARTÍN;Colisión lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;14
2020S004038;20/02/2020;18:50;AVDA. COMPLUTENSE / METRO. CIUDAD UNIVERSITARIA;-;MONCLOA-ARAVACA;Colisión fronto-lateral;;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;
2020S003961;20/02/2020;18:40;CALL. ALFONSO XII;22;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;07
2020S004107;21/02/2020;22:47;CALL. EMBAJADORES;59;ARGANZUELA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;14
